"status_id","screen_name","created_at","text"
"1296742125292285953","iloveabc0712",2020-08-21 09:33:09,"@nylee21 @nylee_office 29일 전당대회 기다리고 있습니다. 이낙연 의원님께서 대표되셔서 좀 더 확실하게 대통령님께 힘을 실어드리고 민주당이 다시 활기있게 되기를... 기도 드리고 있습니다."
"1296737271954075648","park_pyung",2020-08-21 09:13:52,"9. 이낙연 의원의 경우 2차 긴급재난지원금과 관련 ""정부 입장과 재정 형편, 현재 경제 상황 등을 알아보고 여러 의견을 들어봐야 한다""고 밝힘.

""동시에, 의원들이 각자 의견을 내는 것은 자유지만, 저는 좀 더 책임있는 위치에 있다""고 말함."
"1296354283437174784","park_pyung",2020-08-20 07:52:00,"코로나 확산 국면에서 국회는 무엇을 해야 하는가?

1. 국회의 가장 중요한 임무는 입법이다.

2. 이낙연 의원은 이 위기의 순간에 민주당이 입법활동을 해야 한다고 말했다. 

3. 주어진 자리에서 해야할 일, 할 수 있는 일을 놓치지 않는 인물만이 권한을 제대로 사용하고 진정한 성과를 낼 수 있다. https://t.co/dLPOCYLg4q"
"1295242651554340866","park_pyung",2020-08-17 06:14:47,"-&gt; (태도를 보면 어떤가요? 제가 아직 분석이 충분치 않았던 모양입니다.) 그러신 것 같네요. 
(자꾸 이낙연 의원을 답답한 이미지로 몰아가려는 것이 있음. 이 부분에 대해 일침 한 듯)

-&gt; 본인은 직분에 충실한 사람. 직분에 충실하고 잘했음. 책임감이 과도할 정도 많은 사람."
"1295242650363154433","park_pyung",2020-08-17 06:14:46,"-&gt; (지난 7개월 동안은 엎치락뒤치락 안 했는데?) 본격화되지 않았던 것

10. 이재명은 적극적인 행보, 이낙연은 신중한 행보인데?

-&gt; 최근 현안에 대한 태도를 한번 잘 보라.
(참고, 사랑제일교회, 전목사 관련 이낙연 의원은 직접 문제제기한 상태, 이재명은 경기도 대변인 통해서 언급)"
"1295242639424462849","park_pyung",2020-08-17 06:14:44,"이낙연 의원, 김현정의 뉴스쇼 인터뷰 요약
(+원문 : https://t.co/hJ70HL6SWb)

1. 코로나 현 상황에 대하여
-&gt; 신천지 이후 가장 많은 규모. 확산 속도 빠르고 확진자 연세 높아 더 위험. 사람들의 긴장이 풀려서 더 위험한 상황

2. 전광훈, 사랑제일교회 관련"
"1296354285396008961","park_pyung",2020-08-20 07:52:01,"4. 이낙연 의원이 요청한 입법 활동의 주요 내용은 3가지.
- 예방 강화
- 치료 강화
- 공공 의료체계의 강화

5. 이러한 입법을 통해 얻고자 하는 것은,
- 예방, 확산방지, 치료를 위한 국가의 권한과 의무를 강화해 위반과 도전을 엄벌하는 것"
"1296354287941902336","park_pyung",2020-08-20 07:52:02,"7. 진짜 일을 잘한다는 건 이런 것을 말하는 것임.

코멘트) 코로나 위기가 증폭되는 상황에서 국회가 해야하는 가장 시급하고 중요한 일이 바로 '입법'활동이라고 그렇게 방송에서 말했었음. 이낙연 의원님의 요청보고 이제야 마음이 편해짐."
"1296354286612262913","park_pyung",2020-08-20 07:52:01,"- 검사회피, 진찰거부, 병원탈출, 유언비어등 일체의 방역저항 행위 강력하고 신속히 처벌하는 것

- 그런 행위에 따르는 비용을 행위자가 물도록 하는 것

6. '선거'에만 목 매는 사람, 포퓰리즘정책 들고와 '인기'에만 목 매는 사람사이에서, '의원이 해야할 일'에 집중하는 사람이 이낙연 의원"
"1296736933943508993","ceopcs",2020-08-21 09:12:31,"민주당 관계자, ""전당대회는 미룰 수 없고 보건당국에 조기 격리해제를 요청하거나 마스크를 쓰고 나와서라도 연설을 할 수 있게 요청""

이낙연 캠프, ""말도 안된다. 보건당국의 지침을 철저히 따르겠다는 것이 이낙연 후보의 확고한 생각""

민주당에 어떤 당대표가 필요한지 보여주는 사소한(?) 예."
