reg_time,reply,press,title,url
2020-02-10T16:59:02Z,정말 우리 집에 좋은 일이 생겨 기쁘고 행복한 것처럼!! 나의 일인 양 행복합니다!! 축하드립니다^^ 정말 행복하고 기쁘네요<U+2764><U+FE0F>,MBC,'기생충' 아카데미 작품상까지 4관왕…영화사 새로 썼다,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=104&oid=214&aid=0001013293
2020-02-10T13:32:24Z,와 너무 기쁘다! 이 시국에 정말 내 일같이 기쁘고 감사하다!!! 축하드려요 진심으로!!!,SBS,"[영상] '기생충' 봉준호, 오스카 감독상 수상…현재 3관왕",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=103&oid=055&aid=0000791595
2020-02-10T12:30:09Z,우리나라의 영화감독분들 그리고 앞으로 그 꿈을 그리는 분들에게 큰 영감을 주시게된 봉감독님 그리고 공동각본쓴 한진원 작가님께 축하 축하 드립니다!!,한겨레,"‘기생충’, 한국영화 최초로 아카데미 각본상 수상",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=103&oid=028&aid=0002484573
2020-02-10T13:08:22Z,"봉준호 감독과 우리나라 대한민국 모두 자랑스럽다. 세계 
어디를 가고 우리는 한국인입니다. 모두 힘내고 열심히 삽시다.",한겨레,"‘기생충’, 한국영화 최초로 아카데미 각본상 수상",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=103&oid=028&aid=0002484573
2020-02-10T16:25:41Z,"노벨상 탄느낌이네요
축하축하 합니다",한겨레,"‘기생충’, 한국영화 최초로 아카데미 각본상 수상",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=103&oid=028&aid=0002484573
2020-02-10T12:31:45Z,기생충 상 받을때 박수 쳤어요.감독상도 기대해요.봉준호 감독 화이팅^^,한겨레,"‘기생충’, 한국영화 최초로 아카데미 각본상 수상",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=103&oid=028&aid=0002484573
2020-02-10T12:31:33Z,대한민국 영화사를 새로 쓰고 계시네요 ㅊㅊㅊ,한겨레,"‘기생충’, 한국영화 최초로 아카데미 각본상 수상",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=103&oid=028&aid=0002484573
2020-02-11T09:20:52Z,저런게 아카데미상 받으면  '태극기 휘날리며'' '광해' '명량''은 전부문 휩쓸어야겠다.,한겨레,"‘기생충’, 한국영화 최초로 아카데미 각본상 수상",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=103&oid=028&aid=0002484573
2020-02-10T20:53:27Z,다시한번 보여주세요 영화관에서 보고싶은디,한겨레,"‘기생충’, 한국영화 최초로 아카데미 각본상 수상",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=103&oid=028&aid=0002484573
2020-02-10T20:22:41Z,"대한민국 BTS와함께  봉준호감독님까지
대단하고 한국의 문화에 자긍심을 가지게합니다♡",한겨레,"‘기생충’, 한국영화 최초로 아카데미 각본상 수상",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=103&oid=028&aid=0002484573
2020-02-10T19:12:46Z,조국이가 받아야 한다. 기생충 스토리 제공,한겨레,"‘기생충’, 한국영화 최초로 아카데미 각본상 수상",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=103&oid=028&aid=0002484573
2020-02-10T14:30:18Z,봉준호 감독...전설로 남는건가,한겨레,"‘기생충’, 한국영화 최초로 아카데미 각본상 수상",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=103&oid=028&aid=0002484573
2020-02-10T13:07:00Z,일베와 자한당이 싫어하는 봉준호 감독이 아카데미에서 상받으니 쪽바리들처럼 엄청 싫어 하는구만.. 하긴 박근혜때 자한당이랑 봉감독 블랙리스트로 관리했으니 오죽하겠어?,한겨레,"‘기생충’, 한국영화 최초로 아카데미 각본상 수상",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=103&oid=028&aid=0002484573
2020-02-10T12:41:23Z,1917이 너무 대단해서 아쉬울 뿐,한겨레,"‘기생충’, 한국영화 최초로 아카데미 각본상 수상",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=103&oid=028&aid=0002484573
2020-02-10T12:41:02Z,일베들 부들부들 거리는 댓글 많네,한겨레,"‘기생충’, 한국영화 최초로 아카데미 각본상 수상",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=103&oid=028&aid=0002484573
2020-02-10T12:35:03Z,아카데미나 다른 상이나 지들만의 잔치지~  난 대한민국에서 받는 상이 제일 가치 있다고 본다 우선 축하 합니다,한겨레,"‘기생충’, 한국영화 최초로 아카데미 각본상 수상",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=103&oid=028&aid=0002484573
2020-02-10T12:30:54Z,리빙 레전드,한겨레,"‘기생충’, 한국영화 최초로 아카데미 각본상 수상",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=103&oid=028&aid=0002484573
2020-02-10T12:29:48Z,진짜 대박이다. 실시간으로 이걸 지켜보다니 ㅋ,한겨레,"‘기생충’, 한국영화 최초로 아카데미 각본상 수상",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=103&oid=028&aid=0002484573
2020-02-10T12:22:00Z,OOO 씨끼늘 지금 수상이 중요하냐 신종 땜에 이날린데,한겨레,"‘기생충’, 한국영화 최초로 아카데미 각본상 수상",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=103&oid=028&aid=0002484573
2020-02-10T12:21:14Z,2월10일 한국영화의 날로 지정해야 할 만큼 아주 큰 경사다. <U+0001F44D>,한겨레,"‘기생충’, 한국영화 최초로 아카데미 각본상 수상",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=103&oid=028&aid=0002484573
2020-02-10T12:19:31Z,"한국영화계는 반미,반자본주의 성향이 강한것을 미국에 알려서 수상 취소시켜야한다.",한겨레,"‘기생충’, 한국영화 최초로 아카데미 각본상 수상",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=103&oid=028&aid=0002484573
2020-02-10T12:14:19Z,"정말 좋은 소식입니다~!! 
이것을 시작으로 올해 모두에게 좋은 있으면 하는 바램입니다.",한겨레,"‘기생충’, 한국영화 최초로 아카데미 각본상 수상",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=103&oid=028&aid=0002484573
2020-02-10T12:10:40Z,와 한국영화도 아카데미상을 받을 수 있다니 격세지감 적품상 외국어영화상 가자,한겨레,"‘기생충’, 한국영화 최초로 아카데미 각본상 수상",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=103&oid=028&aid=0002484573
2020-02-10T12:10:20Z,이런날이 오긴 오네,한겨레,"‘기생충’, 한국영화 최초로 아카데미 각본상 수상",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=103&oid=028&aid=0002484573
2020-02-10T12:09:11Z,멋져요!!!!!!,한겨레,"‘기생충’, 한국영화 최초로 아카데미 각본상 수상",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=103&oid=028&aid=0002484573
2020-02-10T12:07:36Z,"미국의 자존심에    안줄수도 없고, 그렇다고 줄수도 없고, 

각본상 먹고 떨어지라는뜻",한겨레,"‘기생충’, 한국영화 최초로 아카데미 각본상 수상",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=103&oid=028&aid=0002484573
2020-02-10T12:07:28Z,오스카를 받던지 육스카를 받던지 나랑 먼상관??,한겨레,"‘기생충’, 한국영화 최초로 아카데미 각본상 수상",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=103&oid=028&aid=0002484573
2020-02-10T12:06:21Z,별 내용 없던데..기억나는건 구기랑 갱시미,한겨레,"‘기생충’, 한국영화 최초로 아카데미 각본상 수상",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=103&oid=028&aid=0002484573
2020-02-10T12:03:05Z,키아누리브스가 발표했네. 와우 담엔 봉감독 영화에 키아누 리브스 나오길.,한겨레,"‘기생충’, 한국영화 최초로 아카데미 각본상 수상",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=103&oid=028&aid=0002484573
2020-02-10T12:01:42Z,상금이 얼만가요 ㅋㅋㅋ,한겨레,"‘기생충’, 한국영화 최초로 아카데미 각본상 수상",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=103&oid=028&aid=0002484573
2020-02-10T11:58:21Z,세상에 이런일이..진짜 멋있다ㅜㅜㅜㅜㅜㅜㅜ,한겨레,"‘기생충’, 한국영화 최초로 아카데미 각본상 수상",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=103&oid=028&aid=0002484573
